text,label
Congratulations you won lottery of Rs 50000.,scam
Recharge successful.,safe
Income tax notice pending.,suspicious
Your account activity looks unusual.,suspicious
Recharge successful.,safe
Press 9 to talk to executive.,suspicious
Your account activity looks unusual.,suspicious
Your ATM card expired today. Confirm details.,scam
Recharge successful.,safe
Appointment confirmed with doctor.,safe
Salary credited to your account.,safe
Refund pending. Share OTP to receive money.,scam
Electricity bill unpaid. Pay today.,suspicious
"Dear customer, KYC pending. Click link now.",scam
SIM verification failed. Press 1 now.,scam
SIM verification failed. Press 1 now.,scam
Income tax notice pending.,suspicious
Loan EMI reminder.,safe
Your ATM card expired today. Confirm details.,scam
SIM verification failed. Press 1 now.,scam
Your HDFC account is blocked. Share OTP immediately.,scam
Your ATM card expired today. Confirm details.,scam
Loan EMI reminder.,safe
Your ATM card expired today. Confirm details.,scam
Police calling regarding illegal activity.,scam
Appointment confirmed with doctor.,safe
Press 9 to talk to executive.,suspicious
Press 9 to talk to executive.,suspicious
Thank you for using our service.,safe
Loan EMI reminder.,safe
Your AXIS account is blocked. Share OTP immediately.,scam
Loan EMI reminder.,safe
Press 9 to talk to executive.,suspicious
Thank you for using our service.,safe
Recharge successful.,safe
"Dear customer, KYC pending. Click link now.",scam
Congratulations you won lottery of Rs 10000.,scam
Your account activity looks unusual.,suspicious
Income tax notice pending.,suspicious
Your ATM card expired today. Confirm details.,scam
Salary credited to your account.,safe
Income tax notice pending.,suspicious
Courier delivery failed. Confirm address.,suspicious
Courier delivery failed. Confirm address.,suspicious
Recharge successful.,safe
Appointment confirmed with doctor.,safe
Your account activity looks unusual.,suspicious
Press 9 to talk to executive.,suspicious
Your account activity looks unusual.,suspicious
Appointment confirmed with doctor.,safe
Electricity bill unpaid. Pay today.,suspicious
Congratulations you won lottery of Rs 50000.,scam
Income tax notice pending.,suspicious
Salary credited to your account.,safe
Loan EMI reminder.,safe
Income tax notice pending.,suspicious
Your ICICI account is blocked. Share OTP immediately.,scam
Electricity bill unpaid. Pay today.,suspicious
"Dear customer, KYC pending. Click link now.",scam
Congratulations you won lottery of Rs 25000.,scam
Salary credited to your account.,safe
SIM verification failed. Press 1 now.,scam
Your ATM card expired today. Confirm details.,scam
Thank you for using our service.,safe
SIM verification failed. Press 1 now.,scam
Press 9 to talk to executive.,suspicious
Police calling regarding illegal activity.,scam
Recharge successful.,safe
Your HDFC account is blocked. Share OTP immediately.,scam
Salary credited to your account.,safe
Your account activity looks unusual.,suspicious
"I am your brother, met with accident. Send money urgently.",scam
Your account activity looks unusual.,suspicious
Thank you for using our service.,safe
Refund pending. Share OTP to receive money.,scam
Refund pending. Share OTP to receive money.,scam
Courier delivery failed. Confirm address.,suspicious
Electricity Board calling regarding illegal activity.,scam
Salary credited to your account.,safe
"Dear customer, KYC pending. Click link now.",scam
Electricity bill unpaid. Pay today.,suspicious
"Dear customer, KYC pending. Click link now.",scam
Electricity Board calling regarding illegal activity.,scam
Recharge successful.,safe
Recharge successful.,safe
Income Tax calling regarding illegal activity.,scam
Income tax notice pending.,suspicious
Salary credited to your account.,safe
Income tax notice pending.,suspicious
Your account activity looks unusual.,suspicious
Your HDFC account is blocked. Share OTP immediately.,scam
Loan EMI reminder.,safe
Refund pending. Share OTP to receive money.,scam
Refund pending. Share OTP to receive money.,scam
Income tax notice pending.,suspicious
Electricity bill unpaid. Pay today.,suspicious
Your ATM card expired today. Confirm details.,scam
SIM verification failed. Press 1 now.,scam
Income tax notice pending.,suspicious
Press 9 to talk to executive.,suspicious
Electricity bill unpaid. Pay today.,suspicious
Salary credited to your account.,safe
Thank you for using our service.,safe
Thank you for using our service.,safe
