text,label
Press 9 to talk to executive.,suspicious
Congratulations you won lottery of Rs 25000.,scam
Your HDFC account is blocked. Share OTP immediately.,scam
Loan EMI reminder.,safe
Press 9 to talk to executive.,suspicious
Electricity Board calling regarding illegal activity.,scam
Salary credited to your account.,safe
Salary credited to your account.,safe
Salary credited to your account.,safe
Your account activity looks unusual.,suspicious
"I am your son, met with accident. Send money urgently.",scam
Press 9 to talk to executive.,suspicious
Salary credited to your account.,safe
Income tax notice pending.,suspicious
SIM verification failed. Press 1 now.,scam
Electricity bill unpaid. Pay today.,suspicious
Your AXIS account is blocked. Share OTP immediately.,scam
Press 9 to talk to executive.,suspicious
Recharge successful.,safe
Your HDFC account is blocked. Share OTP immediately.,scam
"Dear customer, KYC pending. Click link now.",scam
Your account activity looks unusual.,suspicious
Loan EMI reminder.,safe
Income tax notice pending.,suspicious
Your PNB account is blocked. Share OTP immediately.,scam
Your ATM card expired today. Confirm details.,scam
Congratulations you won lottery of Rs 5000.,scam
Loan EMI reminder.,safe
"I am your son, met with accident. Send money urgently.",scam
"Dear customer, KYC pending. Click link now.",scam
Your account activity looks unusual.,suspicious
Appointment confirmed with doctor.,safe
Courier delivery failed. Confirm address.,suspicious
Press 9 to talk to executive.,suspicious
Congratulations you won lottery of Rs 50000.,scam
Loan EMI reminder.,safe
"I am your relative, met with accident. Send money urgently.",scam
Refund pending. Share OTP to receive money.,scam
Your account activity looks unusual.,suspicious
Income tax notice pending.,suspicious
Appointment confirmed with doctor.,safe
Electricity bill unpaid. Pay today.,suspicious
Appointment confirmed with doctor.,safe
SIM verification failed. Press 1 now.,scam
Electricity bill unpaid. Pay today.,suspicious
Congratulations you won lottery of Rs 25000.,scam
Your account activity looks unusual.,suspicious
Your AXIS account is blocked. Share OTP immediately.,scam
Recharge successful.,safe
Your ATM card expired today. Confirm details.,scam
Courier delivery failed. Confirm address.,suspicious
Your account activity looks unusual.,suspicious
Press 9 to talk to executive.,suspicious
"Dear customer, KYC pending. Click link now.",scam
Appointment confirmed with doctor.,safe
Recharge successful.,safe
Recharge successful.,safe
Your ATM card expired today. Confirm details.,scam
Refund pending. Share OTP to receive money.,scam
Police calling regarding illegal activity.,scam
Electricity bill unpaid. Pay today.,suspicious
Your ATM card expired today. Confirm details.,scam
Refund pending. Share OTP to receive money.,scam
Refund pending. Share OTP to receive money.,scam
Income tax notice pending.,suspicious
Refund pending. Share OTP to receive money.,scam
Appointment confirmed with doctor.,safe
Income tax notice pending.,suspicious
Salary credited to your account.,safe
Refund pending. Share OTP to receive money.,scam
Your ATM card expired today. Confirm details.,scam
Your ATM card expired today. Confirm details.,scam
Electricity bill unpaid. Pay today.,suspicious
SIM verification failed. Press 1 now.,scam
Loan EMI reminder.,safe
Income tax notice pending.,suspicious
Appointment confirmed with doctor.,safe
Thank you for using our service.,safe
Thank you for using our service.,safe
Courier delivery failed. Confirm address.,suspicious
Electricity Board calling regarding illegal activity.,scam
Your ATM card expired today. Confirm details.,scam
Congratulations you won lottery of Rs 5000.,scam
Loan EMI reminder.,safe
Congratulations you won lottery of Rs 50000.,scam
Refund pending. Share OTP to receive money.,scam
Appointment confirmed with doctor.,safe
"I am your son, met with accident. Send money urgently.",scam
SIM verification failed. Press 1 now.,scam
Thank you for using our service.,safe
Press 9 to talk to executive.,suspicious
