modality,sample_id,timestamp,language,is_scam,scam_type,scam_stage,requested_action,sensitive_info_requested,severity,has_url,has_upi,has_otp,has_qr,has_phone,has_threat,has_urgency,text,weight,source_origin,augmentation_id
SMS,SMS0055,2025-04-19 09:44:37,English,1,Telecom/Utility / KYC Scam,Lure,Call number,,3,0,0,0,0,1,0,0,TRAI verification pending. Confirm details by calling +91-98728-31517.,,,
SMS,SMS0045,2025-04-17 01:13:05,Hinglish,1,Delivery/Courier / Customs Scam,Action request,Click link,,3,1,0,0,0,0,0,0,Address incomplete. Reschedule delivery: https://rebrand.ly/GdfOiZ6 Jaldi karo.,,,
SMS,SMS0024,2025-10-09 05:09:51,Hinglish,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,1,0,0,0,0,0,0,PhonePe Security: Malware detected. Install Remote Assist from https://cybercrime-case.in/rlgzusgnux for cleanup.,,,
SMS,SMS0039,2025-05-31 17:52:45,English,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,1,0,0,0,0,0,0,Pre-approved loan ₹9900. Activate by paying processing ₹199 at https://tinyurl.com/eL2ZL5L,,,
SMS,SMS0100,2025-11-06 23:24:25,English,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,0,0,0,0,0,0,0,"Hi, I’ll reach by 7:00 PM. See you soon.",,,
SMS,SMS0017,2025-09-14 06:59:18,Hinglish,1,Tech Support / Remote Access Scam,Lure,Click link,,3,0,0,0,0,0,0,1,Device warranty expiring today. Verify at Jaldi karo.,,,
SMS,SMS0088,2025-06-21 15:21:52,Hinglish,0,Legitimate: Service Notification,No action (info only),Visit official app/website,,1,1,0,0,0,0,0,1,URGENT: Jio password change hua. Agar aapne nahi kiya to reset: https://amazon.in/32tr8hd851,,,
SMS,SMS0022,2025-04-16 22:44:18,English,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,1,0,0,0,0,0,1,Apple Security: Malware detected. Install QuickSupport from https://verify-now.co/nwfcot79ky for cleanup.,,,
SMS,SMS0053,2025-05-17 22:46:23,Hinglish,1,Telecom/Utility / KYC Scam,Escalation/Threat,Click link,,4,1,0,0,0,0,1,1,BESCOM: Bill overdue ₹7500. Power cut in 2 hours. Pay at https://bit.ly/effIp1B Jaldi karo.,,,
SMS,SMS0074,2025-10-06 02:28:01,English,1,Marketplace / Refund / UPI Scam,Action request,Share OTP,OTP,4,0,0,1,0,0,0,0,"OLX: Buyer sent payment. To receive ₹50000, share OTP.",,,
SMS,SMS0041,2025-12-12 16:19:02,English,1,Delivery/Courier / Customs Scam,Action request,Click link,,3,1,0,0,0,0,0,0,Address incomplete. Reschedule delivery: https://t.co/8Kjuhfj,,,
SMS,SMS0002,2025-11-10 03:19:51,Hinglish,1,Bank/KYC Fraud,Action request,Share ID docs,Aadhaar,4,0,0,0,0,1,0,0,KYC update required. Share PAN/Aadhaar photo on WhatsApp number +91-87823-43618. Jaldi karo.,,,
